Company Name,City,State,ZIP Code,Primary NAICS,Primary NAICS Description,Location Employee Size Actual,Location Sales Volume Actual,Type of Business,Square Footage,Credit Score Alpha,Saturday Open,Sunday Open
Mercer Transportation,Murfreesboro,TN,37129,488210,Support Activities For Rail Transportation,5,"$642,000",Private,"10,000 - 19,999",B,,
Mode Transportation,Memphis,TN,38125,488210,Support Activities For Rail Transportation,9,"$1,229,000",Private,"10,000 - 19,999",A,,
Nationwide Hauling LLC,Knoxville,TN,37921,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$428,000",Private,"2,500 - 4,999",C+,,
Network Logistics Svc LLC,Lebanon,TN,37087,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,20,"$3,665,000",Private,"20,000 - 39,999",B+,Closed,Closed
NEWS Transport,Collierville,TN,38017,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$452,000",Private,"2,500 - 4,999",C+,,
Nexus Transportation-Brokerage,Memphis,TN,38118,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$678,000",Private,"1,500 - 2,499",C+,,
Nu Vision Carriers Inc,Memphis,TN,38118,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$678,000",Private,"2,500 - 4,999",C+,,
P & M Transportation,Memphis,TN,38115,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$452,000",Private,"5,000 - 9,999",C+,,
Park Ave Intermodal,Memphis,TN,38116,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$1,130,000",Private,"2,500 - 4,999",B,,
Pathmark Transportation,Memphis,TN,38157,541611,Administrative & General Mgmt Consulting Services,12,"$1,645,000",Private,"40,000 - 99,999",A,,
Pearce Worldwide Logistics Inc,Brentwood,TN,37027,488510,Freight Transportation Arrangement,3,"$641,000",Private,"10,000 - 19,999",B,,
Peek Trucking,Waverly,TN,37185,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,35,"$6,218,000",Private,"10,000 - 19,999",A,,
Perimeter Transportation Co,Memphis,TN,38118,488210,Support Activities For Rail Transportation,100,"$13,650,000",Private,"100,000+",A,Closed,Closed
Pfg/Lester L,Lebanon,TN,37090,424420,Packaged Frozen Food Merchant Wholesalers,180,"$279,377,000",Private,"100,000+",A+,,
Pii,Memphis,TN,38106,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$678,000",Private,"1,500 - 2,499",B,,
R E Transportation,Cordova,TN,38018,488510,Freight Transportation Arrangement,2,"$405,000",Private,"2,500 - 4,999",C+,,
R G Agency,Jonesborough,TN,37659,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,1,"$189,000",Private,"1,500 - 2,499",C,,
Rdm Trucklines,Limestone,TN,37681,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$335,000",Private,"2,500 - 4,999",C+,,
Reliable Freight Brokerage,Memphis,TN,38125,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$678,000",Private,"1,500 - 2,499",C+,,
